0_Der_avg,Blink_Averaged,Time_Average,1_Der_avg,3_Der_avg
-13.63346657,0,37.7241,16.98710162,-72.04310715
-136.5581635,0,37.7739,-85.16312219,21.67432403
-113.7726898,0,37.8248,-65.53677097,-23.43312449
52.79497241,0,37.8743,29.38062557,-24.15428855
106.8275885,0,37.9237,75.47265978,24.03779221
31.16635346,0,37.9748,25.34503422,-55.67136368
-20.21003057,0,38.0243,-55.57471059,-35.04233403
25.8630634,0,38.0737,7.821627835,100.5699551
-5.93153927,0,38.1255,15.35976636,29.73912797
33.457822,0,38.1763,29.73176574,-23.08669273
138.9435832,0,38.2252,92.63039922,10.07776691
41.8406544,0,38.2734,20.57679583,-1.274064559
-21.86387649,0,38.3244,-20.40514474,66.38232226
21.21525125,0,38.3752,28.41182499,89.87465445
-80.43656837,0,38.4234,-34.26748125,-13.18068741
-37.55868435,0,38.4744,-17.28194829,-10.49843223
402.1913239,0,38.529,408.6054498,-14.36636917
1968.984097,1,38.5734,1971.206731,258.0277297
1085.87573,1,38.6244,1029.632361,277.2444729
-1540.569059,0,38.676,-1544.591025,-215.1804021
-1679.27334,0,38.7264,-1601.619432,-352.1744573
-830.4678933,0,38.775,-817.0421923,-185.4736148
-188.6894324,0,38.8252,-207.1768217,-44.91368468
-29.86577659,0,38.8734,-22.65541034,-28.18972077
12.64501701,0,38.9244,17.36502037,-17.23879987
28.73661619,0,38.9786,35.93218283,8.074610749
72.10784308,0,39.0248,64.43754421,3.934344442
158.8701054,0,39.0792,123.6666767,55.85050607
144.4806886,0,39.1252,105.4394427,115.3454843
111.1638777,0,39.1734,52.57752067,71.93681823
58.14868091,0,39.2243,-38.34905425,7.915318697
9.539793315,0,39.2737,-26.7046225,-3.803006826
15.95452482,0,39.3248,14.78172951,-82.3601849
42.87451136,0,39.3743,-0.191467518,-116.0722763
79.07164907,0,39.4239,48.61470231,-12.49504361
85.75270337,0,39.4748,111.0849476,33.52399024
72.21978414,0,39.5243,122.9005477,36.71451772
-5.832693295,0,39.5739,19.4460225,17.22067483
-19.05271985,0,39.6248,-8.249515112,-43.55009541
-4.032385425,0,39.6743,6.826901902,-44.17873395
-66.54842786,0,39.7239,28.37180012,60.52130252
-20.37606264,0,39.7748,49.44681741,100.3519254
37.00735514,0,39.8243,30.16086406,57.88544139
49.20927239,0,39.8739,37.01460658,-4.303340555
96.98431119,0,39.9248,22.73886373,30.10742008
-9.820162825,0,39.9743,-13.88741624,14.10897636
-53.52196936,0,40.0239,-10.37386096,-96.10526524
-13.15929613,0,40.0785,-14.03784044,-86.19598847
-8.43556031,0,40.1244,-16.57297148,-26.99927213
-4.41511371,0,40.1739,36.6195446,43.54413007
-25.72757701,0,40.2233,-6.205151129,-39.67763306
-42.37182308,0,40.2744,-92.36392878,-109.7279999
-100.8972535,0,40.3252,-134.3933625,-106.7698328
-86.94492788,0,40.3734,-90.64085583,-46.22917208
-8.78156218,0,40.4244,32.8272803,39.45954852
93.4760109,0,40.4752,62.12059464,17.18725794
119.7104358,0,40.5234,72.65415747,36.47347413
36.52283044,0,40.5744,103.213868,122.6892969
63.97979086,0,40.6252,105.7340362,130.6213103
54.26564767,0,40.6734,92.58009798,32.36633159
-36.46933883,0,40.7282,34.17627349,0.718719289
7.301600645,0,40.7752,-7.538845237,24.41984621
36.40832372,0,40.8234,2.832306506,66.76615372
792.4656031,1,40.881,691.0131597,157.4422804
2134.001658,1,40.9234,2021.817075,364.5895535
338.796834,0,40.9734,366.6217945,129.1751428
-1963.575633,0,41.0242,-1903.227606,-346.8131429
-1358.861689,0,41.0752,-1286.592152,-365.978697
-581.0248258,0,41.1234,-563.1818483,-232.6219323
-156.4436203,0,41.1744,-195.4011491,-76.19875665
85.76989927,0,41.2238,39.34724307,-11.32616841
87.82887672,0,41.2748,74.51378045,-6.92681224
76.04612932,0,41.3243,49.05137205,24.75719365
130.0619506,0,41.3739,107.832762,25.17220798
118.2627707,0,41.4248,160.0760062,47.62087291
125.5682781,0,41.4743,104.6323018,57.26391295
114.1779775,0,41.5277,49.46162862,23.69992652
15.06099228,0,41.5748,13.06171067,32.25070044
45.3193437,0,41.6243,54.262799,38.00876387
63.44964274,0,41.6739,53.14896552,52.90461593
-37.97491036,0,41.7248,-8.828480092,56.78173264
-64.77930728,0,41.7804,21.61173468,13.9240629
64.35910227,0,41.8295,102.5299621,0.604343507
114.0782211,0,41.8727,110.9114115,-47.20858581
43.77400179,0,41.9243,49.77233332,-76.00193072
-32.45451189,0,41.9739,-13.0427395,-38.70755955
-115.7877655,0,42.0248,-95.08870677,-81.6630021
-6.5635056,0,42.0743,-48.97499953,-21.25873892
126.74814,0,42.1239,95.4891984,59.14416495
59.02062189,0,42.1748,58.81437828,17.33252564
5.429665053,0,42.2229,-19.65183018,26.26641171
-29.49506054,0,42.2752,-36.4783031,41.75323925
-33.67577601,0,42.3234,37.95927903,56.07578769
2.017642852,0,42.3744,60.54815628,12.48520735
